UID,bad_flag
Te-1,0.0017478882800787687
Te-2,0.0011317887110635638
Te-3,0.0012356179067865014
Te-4,0.0007138483924791217
Te-5,0.005157748702913523
Te-6,0.005047944840043783
Te-7,0.00233736215159297
Te-8,0.0019822518806904554
Te-9,0.0039460742846131325
Te-10,0.0025786820333451033
Te-11,0.013471709564328194
Te-12,0.0031044185161590576
Te-13,0.08902936428785324
Te-14,0.0024887744802981615
Te-15,0.019350025802850723
Te-16,0.017966218292713165
Te-17,0.002899176673963666
Te-18,0.012555704452097416
Te-19,0.0020943996496498585
Te-20,0.001783626270480454
Te-21,0.0003513823030516505
Te-22,0.00532494205981493
Te-23,0.00954614020884037
Te-24,0.0018218514742329717
Te-25,0.01989823579788208
Te-26,0.003741547232493758
Te-27,0.014548050239682198
Te-28,0.00019757403060793877
Te-29,0.0013315241085365415
Te-30,0.001283946679905057
Te-31,0.0008225136552937329
Te-32,0.006688357796519995
Te-33,0.0009957231814041734
Te-34,0.005053777247667313
Te-35,0.0692601427435875
Te-36,0.001527837011963129
Te-37,0.0006692598690278828
Te-38,0.0026464539114385843
Te-39,0.0009297808865085244
Te-40,0.003130612662062049
Te-41,0.0011731578269973397
Te-42,0.0023171305656433105
Te-43,0.007342061959207058
Te-44,0.06927619129419327
Te-45,0.0020955908112227917
Te-46,0.0016710310010239482
Te-47,0.0004116090713068843
Te-48,0.0032130389008671045
Te-49,0.0022157898638397455
Te-50,0.0020418260246515274
Te-51,0.011876068077981472
Te-52,0.19749334454536438
Te-53,0.003057027468457818
Te-54,0.003358116140589118
Te-55,0.008125251159071922
Te-56,0.0010482739889994264
Te-57,0.0011675889836624265
Te-58,0.0023384399246424437
Te-59,0.003255935851484537
Te-60,0.0019432062981650233
Te-61,0.0006811853963881731
Te-62,0.001092348131351173
Te-63,0.0006228769780136645
Te-64,0.0012484114849939942
Te-65,0.020535781979560852
Te-66,0.014938768930733204
Te-67,0.005369470454752445
Te-68,0.004950264003127813
Te-69,0.0010158272925764322
Te-70,0.0037597548216581345
Te-71,0.4174235165119171
Te-72,0.005103332456201315
Te-73,0.0008511238847859204
Te-74,0.008730268105864525
Te-75,0.004072858486324549
Te-76,0.0008458556840196252
Te-77,0.010442557744681835
Te-78,0.0034086816012859344
Te-79,0.0018273399909958243
Te-80,0.0022313473746180534
Te-81,0.00784337054938078
Te-82,0.5609651207923889
Te-83,0.23507773876190186
Te-84,0.004694103728979826
Te-85,0.012238762341439724
Te-86,0.0047513945028185844
Te-87,0.0014688776573166251
Te-88,0.0007748913485556841
Te-89,0.008855629712343216
Te-90,0.0016804479528218508
Te-91,0.001959505258128047
Te-92,0.0017666976200416684
Te-93,0.002424901584163308
Te-94,0.006593196652829647
Te-95,0.002281847642734647
Te-96,0.02140115387737751
Te-97,0.017192259430885315
Te-98,0.001710471697151661
Te-99,0.001060563139617443
Te-100,0.0054299789480865
Te-101,0.0023024652618914843
Te-102,0.000803861825261265
Te-103,0.0028841893654316664
Te-104,0.0021878175903111696
Te-105,0.0006921797757968307
Te-106,0.002990864682942629
Te-107,0.0013550356961786747
Te-108,0.0014002621173858643
Te-109,0.009751089848577976
Te-110,0.008856851607561111
Te-111,0.004004296381026506
Te-112,0.009612243622541428
Te-113,0.002354222582653165
Te-114,0.0018200576305389404
Te-115,0.0013699281262233853
Te-116,0.004091216251254082
Te-117,0.0033412075135856867
Te-118,0.007692145183682442
Te-119,0.0333835631608963
Te-120,0.002059255028143525
Te-121,0.001633887062780559
Te-122,0.0015688542043790221
Te-123,0.0005913469940423965
Te-124,0.0012389826588332653
Te-125,0.0003727219009306282
Te-126,0.004486060701310635
Te-127,0.8781082034111023
Te-128,0.005981821101158857
Te-129,0.015474614687263966
Te-130,0.011127405799925327
Te-131,0.008274841122329235
Te-132,0.0013585503911599517
Te-133,0.05661914497613907
Te-134,0.004630118142813444
Te-135,0.0012728021247312427
Te-136,0.0017630928196012974
Te-137,0.008579481393098831
Te-138,0.0017921874532476068
Te-139,0.0022315122187137604
Te-140,0.010384912602603436
Te-141,0.0003955358115490526
Te-142,0.0014366741525009274
